Vcm1,Vcm2,Vcm3,Vcm4,Vcm5,Vcm6,Vcm7,Vcm8,Vcm9,Vcm10,Vcm11,Vcm12,Vcm13,Vcm14,Vcm15,Vcm16,Vcm17,Vcm18
.000017935414,.00002081741,.000021248417,.000017573195,.000019343406,.00002464341,.000015154906,.00001099181,.000013988039,.00001446453,5.1373863e-06,-3.0688673e-07,-2.9411112e-07,-4.0765991e-07,.000015387028,-.000021892434,-6.1393057e-06,4.8080938e-06
.00002081741,.0020760717,.0010380999,.0010294027,.0010146897,.0010092976,.00093980331,.00088085124,.00086623919,.00079729571,.00063820486,-2.5828249e-06,-5.0151384e-06,3.7979426e-06,.0026990105,-.0011963906,.000074239746,-.000083946717
.000021248417,.0010380999,.0019129831,.00096136105,.0010008628,.0009948184,.00092197658,.00086618197,.00085208222,.00078640034,.00063504884,-2.5303086e-06,-4.7655244e-06,3.5554403e-06,.0021642211,-.0011697111,.000071862945,-.000084902851
.000017573195,.0010294027,.00096136105,.001707247,.00089840079,.0009362569,.00088077568,.00082886289,.00081741071,.00075749197,.00062369352,-2.1534611e-06,-4.1921808e-06,3.2407627e-06,.0028905713,-.0011029964,.0000639766,-.000072934214
.000019343406,.0010146897,.0010008628,.00089840079,.0017342734,.00097568549,.00083752413,.00081106945,.00078451453,.00073650136,.00063453574,-2.2782178e-06,-4.2067863e-06,2.7739877e-06,-.0079162605,-.0010578474,.000070434005,-.00007677087
.00002464341,.0010092976,.0009948184,.0009362569,.00097568549,.0018329397,.00076710037,.0008036262,.00076639472,.00072604197,.00064151298,-2.4570775e-06,-4.2478714e-06,2.3782281e-06,-.014249619,-.0010323393,.000072293886,-.00007974945
.000015154906,.00093980331,.00092197658,.00088077568,.00083752413,.00076710037,.0015809706,.00074110652,.00078679767,.00072866568,.00060189824,-1.7766148e-06,-3.4349587e-06,2.5449949e-06,.0089697372,-.0010183947,.000051901898,-.000061515108
.00001099181,.00088085124,.00086618197,.00082886289,.00081106945,.0008036262,.00074110652,.0014677279,.00069586537,.00069339393,.00059804914,-1.5573625e-06,-3.0275901e-06,2.2446191e-06,.0037034452,-.00093695457,.000047644779,-.000049542745
.000013988039,.00086623919,.00085208222,.00081741071,.00078451453,.00076639472,.00078679767,.00069586537,.0014554337,.00065564428,.00059371674,-1.5920681e-06,-2.8209117e-06,1.6022346e-06,.0070710359,-.00092575984,.000048768015,-.000060346676
.00001446453,.00079729571,.00078640034,.00075749197,.00073650136,.00072604197,.00072866568,.00069339393,.00065564428,.0013672081,.00054532365,-1.3777535e-06,-2.3008140e-06,9.9689464e-07,.0049775252,-.00084126322,.000041068251,-.000064855754
5.1373863e-06,.00063820486,.00063504884,.00062369352,.00063453574,.00064151298,.00060189824,.00059804914,.00059371674,.00054532365,.0012064854,-4.0390913e-07,-8.6344642e-07,6.4086481e-07,-.0019833348,-.00064607983,.000010820438,-8.0882510e-06
-3.0688673e-07,-2.5828249e-06,-2.5303086e-06,-2.1534611e-06,-2.2782178e-06,-2.4570775e-06,-1.7766148e-06,-1.5573625e-06,-1.5920681e-06,-1.3777535e-06,-4.0390913e-07,1.5988451e-07,-4.7696229e-09,-1.8594115e-08,4.4126332e-06,2.3990522e-06,-2.9260687e-07,4.3999739e-07
-2.9411112e-07,-5.0151384e-06,-4.7655244e-06,-4.1921808e-06,-4.2067863e-06,-4.2478714e-06,-3.4349587e-06,-3.0275901e-06,-2.8209117e-06,-2.3008140e-06,-8.6344642e-07,-4.7696229e-09,8.7259018e-08,-3.0124419e-08,4.6270761e-06,4.7611861e-06,-4.2963777e-07,4.7870503e-07
-4.0765991e-07,3.7979426e-06,3.5554403e-06,3.2407627e-06,2.7739877e-06,2.3782281e-06,2.5449949e-06,2.2446191e-06,1.6022346e-06,9.9689464e-07,6.4086481e-07,-1.8594115e-08,-3.0124419e-08,1.1196588e-07,1.0050532e-06,-4.9058990e-06,-2.0725460e-07,2.6222446e-07
.000015387028,.0026990105,.0021642211,.0028905713,-.0079162605,-.014249619,.0089697372,.0037034452,.0070710359,.0049775252,-.0019833348,4.4126332e-06,4.6270761e-06,1.0050532e-06,2.0126121,-.0082726227,-.00020902901,.00003019933
-.000021892434,-.0011963906,-.0011697111,-.0011029964,-.0010578474,-.0010323393,-.0010183947,-.00093695457,-.00092575984,-.00084126322,-.00064607983,2.3990522e-06,4.7611861e-06,-4.9058990e-06,-.0082726227,.0013382945,-.000077546065,.00008843129
-6.1393057e-06,.000074239746,.000071862945,.0000639766,.000070434005,.000072293886,.000051901898,.000047644779,.000048768015,.000041068251,.000010820438,-2.9260687e-07,-4.2963777e-07,-2.0725460e-07,-.00020902901,-.000077546065,.000027068605,-.000027955371
4.8080938e-06,-.000083946717,-.000084902851,-.000072934214,-.00007677087,-.00007974945,-.000061515108,-.000049542745,-.000060346676,-.000064855754,-8.0882510e-06,4.3999739e-07,4.7870503e-07,2.6222446e-07,.00003019933,.00008843129,-.000027955371,.00026030999
